size,k,dimension,scann_time,fgc_time,count
100000,10,61,5069.264316558838,8067.041254043579,10
100000,10,62,5027.171468734741,8072.11971282959,10
100000,10,63,5117.17712879181,8291.405177116394,10
100000,10,64,5194.660687446594,12107.283830642698,10
100000,10,65,5296.6835260391235,9122.78592586517,10
100000,10,66,5282.5896978378305,8310.944819450378,10
100000,10,67,5232.402086257935,9783.949542045597,10
100000,10,68,5395.014405250549,9257.83519744873,10
100000,10,69,5405.812644958496,8274.35417175293,10
100000,10,70,5377.527165412903,9151.069307327272,10
100000,10,71,5503.531646728516,8610.181331634521,10
100000,10,72,5534.519839286804,9968.830704689026,10
100000,10,73,5671.109414100647,8178.535223007202,10
100000,10,74,5605.556321144104,9225.033617019652,10
100000,10,75,5750.524735450745,9593.728399276732,10
100000,10,76,5700.3989934921265,9667.538118362429,10
100000,10,77,5751.8205642700195,9924.071049690248,10
100000,10,78,5864.266800880432,9909.00790691376,10
100000,10,79,5970.7763671875,9994.422864913944,10
100000,10,80,5804.451489448547,11988.373088836672,10
100000,10,81,5984.986209869385,10436.704707145696,10
100000,10,82,6249.417686462402,10514.01243209839,10
100000,10,83,6019.171762466431,9790.77937602997,10
100000,10,84,6103.824734687805,10882.920861244203,10
100000,10,85,6139.970564842224,10327.998375892636,10
100000,10,86,6154.738545417786,11772.2784280777,10
100000,10,87,6248.89063835144,11346.886610984806,10
100000,10,88,6169.970703125001,10199.043583869936,10
100000,10,89,6346.232080459596,10286.033391952516,10
100000,10,90,6424.144887924194,11563.49539756775,10
100000,10,91,6490.0012016296405,11408.84590148926,10
100000,10,92,6515.187382698059,11925.61628818512,10
100000,10,93,6553.043127059937,11383.99248123169,10
100000,10,94,6488.266372680664,11547.349810600275,10
100000,10,95,6648.427653312683,12092.262983322144,10
100000,10,96,6565.956759452822,17011.91453933716,10
100000,10,97,6692.73955821991,11770.74210643768,10
100000,10,98,6759.552597999573,12245.05968093872,10
100000,10,99,6805.791807174683,12759.09295082092,10
100000,10,100,6819.7919845581055,13307.964730262756,10
100000,40,2,3065.895915031433,48.69449138641358,10
100000,40,3,3369.0408547719326,21.59692446390788,15
100000,40,4,3133.8302850723267,60.17916202545166,10
100000,40,5,3455.9757073720293,90.59584935506184,15
100000,40,6,3299.3465662002563,156.95061683654785,10
100000,40,7,3408.418369293213,250.55923461914068,10
100000,40,8,3428.5104513168335,275.67129135131836,10
100000,40,9,3494.6429014205933,395.9140539169312,10
100000,40,10,3598.5506375630703,431.31197293599445,15
100000,40,11,3600.8926153182983,470.9104299545288,10
100000,40,12,3545.9316730499268,711.501955986023,10
100000,40,13,3655.6044578552246,836.2813472747803,10
100000,40,14,3610.2187633514395,952.6862144470217,10
100000,40,15,3794.6579694747916,1073.9957809448242,10
100000,40,16,3721.6420412063576,1616.514253616333,10
100000,40,17,3847.804093360901,1557.1853637695312,10
