size,k,dimension,faiss_time,fgc_time,count
6000,100,3,11.846621831258139,14.86817995707194,3
6000,100,5,10.017633438110352,40.27001063028971,3
6000,100,10,16.238292058308918,51.77680651346842,3
7000,10,3,5.313475926717122,19.057432810465496,3
7000,10,5,2.7941068013509116,26.44062042236328,3
7000,10,10,5.573590596516927,123.57417742411296,3
7000,40,3,8.135795593261719,18.175204594930012,3
7000,40,5,7.518927256266276,28.84356180826823,3
7000,40,10,6.7700544993082685,72.51556714375813,3
7000,100,3,12.325922648111979,19.15089289347331,3
7000,100,5,11.171181996663412,32.617648442586265,3
7000,100,10,18.70298385620117,44.83167330423991,3
8000,10,3,5.439996719360352,14.623165130615234,3
8000,10,5,5.882422129313151,17.50922203063965,3
8000,10,10,3.105640411376953,105.10810216267903,3
8000,40,3,8.240461349487305,17.976840337117512,3
8000,40,5,6.085713704427083,24.99079704284668,3
8000,40,10,6.549358367919922,72.58447011311848,3
8000,100,3,13.06589444478353,17.656485239664715,3
8000,100,5,11.417071024576822,39.966742197672524,3
8000,100,10,18.40321222941081,57.820638020833336,3
9000,10,3,4.749854405721028,10.420799255371094,3
9000,10,5,2.0955403645833335,34.39776102701823,3
9000,10,10,3.925879796346029,113.41460545857747,3
9000,40,3,7.306257883707683,15.66767692565918,3
9000,40,5,7.2561899820963545,29.611587524414062,3
9000,40,10,5.932807922363281,73.5776424407959,3
9000,100,3,14.964421590169271,19.286235173543293,3
9000,100,5,13.739983240763346,30.57972590128581,3
9000,100,10,48.8740603129069,74.80255762736003,3
10000,10,3,6.709655125935872,23.661454518636067,3
10000,10,5,4.388093948364258,36.01670265197754,3
10000,10,10,7.352749506632487,136.69395446777344,3
10000,40,3,7.413387298583984,11.626879374186197,3
10000,40,5,6.998459498087565,30.351559321085613,3
10000,40,10,6.985267003377278,75.12354850769043,3
10000,100,3,18.339236577351887,20.49859364827474,3
10000,100,5,16.342719395955402,38.91738255818685,3
10000,100,10,22.4901835123698,76.18133227030437,3
20000,10,3,10.58657964070638,21.35125796000163,3
20000,10,5,12.331167856852213,43.055057525634766,3
20000,10,10,11.2457275390625,162.32864061991373,3
20000,40,3,17.441352208455402,17.680883407592773,3
20000,40,5,20.31262715657552,39.11407788594564,3
20000,40,10,37.54655520121256,126.56712532043456,3
20000,100,3,40.86168607076009,15.78982671101888,3
20000,100,5,30.92018763224284,43.17227999369303,3
20000,100,10,54.45679028828939,133.43373934427896,3
30000,10,3,16.159613927205402,19.53577995300293,3
30000,10,5,22.860606511433918,27.184406916300457,3
30000,10,10,21.184206008911133,230.6044101715088,3
30000,40,3,32.941341400146484,16.048192977905273,3
30000,40,5,33.19509824117025,36.499579747517906,3
30000,40,10,47.30542500813802,179.7009309132894,3
30000,100,3,53.12212308247884,22.794723510742188,3
30000,100,5,47.527313232421875,49.76447423299154,3
30000,100,10,108.9627742767334,163.07648022969565,3
40000,10,3,38.46613566080729,19.499937693277992,3
40000,10,5,35.93174616495768,41.06950759887695,3
40000,10,10,40.465752283732094,244.23511823018399,3
40000,40,3,55.62074979146322,17.630577087402344,3
40000,40,5,53.220510482788086,42.735894521077476,3
40000,40,10,63.82155418395996,196.53789202372232,3
40000,100,3,81.8936030069987,29.510339101155598,3
40000,100,5,74.15231068929036,69.71549987792969,3
40000,100,10,137.96250025431314,229.5072078704834,3
50000,10,3,49.39079284667969,14.694531758626303,3
50000,10,5,50.29877026875814,52.149057388305664,3
50000,10,10,48.63921801249186,205.66153526306152,3
50000,40,3,71.14084561665852,18.885135650634766,3
50000,40,5,71.12479209899902,65.61279296875,3
50000,40,10,85.56151390075684,233.203649520874,3
50000,100,3,98.92066319783528,22.79241879781087,3
50000,100,5,104.92483774820964,89.18356895446777,3
50000,100,10,198.31196467081705,328.40903600056964,3
60000,10,3,63.90674908955892,14.49131965637207,3
60000,10,5,70.19925117492676,54.18546994527181,3
60000,10,10,80.51196734110515,415.4555002848308,3
60000,40,3,95.23280461629231,27.011791865030926,3
60000,40,5,93.66289774576823,83.62952868143718,3
60000,40,10,128.48027547200522,366.58088366190594,3
60000,100,3,133.64926973978677,35.15466054280599,3
60000,100,5,135.12961069742838,104.21291987101235,3
60000,100,10,203.46967379252115,417.8357124328613,3
70000,10,3,86.5478515625,18.848498662312824,3
70000,10,5,90.89112281799316,46.43662770589193,3
70000,10,10,75.92201232910156,332.3062260945638,3
70000,40,3,111.49295171101888,24.215221405029297,3
70000,40,5,132.54475593566895,87.52560615539551,3
70000,40,10,197.1179644266764,419.8789596557617,3
70000,100,3,172.1347173055013,30.93695640563965,3
70000,100,5,176.41774813334146,148.85846773783365,3
70000,100,10,273.82222811381024,484.7924709320069,3
80000,10,3,123.0323314666748,16.057252883911133,3
80000,10,5,124.72852071126302,62.922398249308266,3
80000,10,10,112.94953028361004,334.19378598531085,3
80000,40,3,159.3602498372396,28.682947158813477,3
80000,40,5,143.3862050374349,91.22093518575032,3
80000,40,10,177.02730496724448,408.5179964701335,3
80000,100,3,214.8751417795817,39.46916262308756,3
80000,100,5,211.4737033843994,164.11336263020834,3
80000,100,10,376.1550585428874,488.3984724680583,3
90000,10,3,166.43730799357095,17.64218012491862,3
90000,10,5,168.84644826253253,62.78189023335775,3
90000,10,10,150.18860499064127,349.3657906850179,3
90000,40,3,199.89530245463052,26.19369824727377,3
90000,40,5,191.37795766194662,114.48884010314941,3
90000,40,10,227.66240437825522,526.9997914632162,3
90000,100,3,248.62233797709146,38.40764363606771,3
90000,100,5,244.65529123942056,172.44927088419595,3
90000,100,10,402.92930603027344,495.5832958221436,3
100000,10,1,190.69766998291016,0.0,1
100000,10,2,176.807701587677,291.37563705444336,4
100000,10,3,196.03049755096436,26.934107144673664,6
100000,10,4,198.10032844543457,55.78625202178955,2
100000,10,5,178.9804458618164,69.50526237487793,5
100000,10,6,190.0467872619629,111.76002025604248,2
100000,10,7,194.0305233001709,180.69899082183838,2
100000,10,8,188.68780136108398,228.74486446380615,2
100000,10,9,192.71516799926758,353.1191349029541,2
100000,10,10,176.6162395477295,394.62080001831055,5
100000,10,11,174.78299140930176,412.4777317047119,1
100000,10,12,194.1778659820557,688.0931854248047,1
100000,10,13,194.38815116882324,784.8269939422607,1
100000,10,14,193.9544677734375,931.6227436065674,1
100000,40,1,278.0768871307373,0.0,1
100000,40,2,245.98973989486694,19.3251371383667,4
100000,40,3,250.14527638753256,26.23740832010905,6
100000,40,4,237.61022090911865,73.92847537994385,2
100000,40,5,233.95442962646484,108.95013809204102,5
100000,40,6,255.35857677459717,190.3318166732788,2
100000,40,7,252.60436534881592,274.94823932647705,2
100000,40,8,263.75114917755127,350.0540256500244,2
100000,40,9,257.5281858444214,457.7702283859253,2
100000,40,10,230.91416358947748,497.0280647277832,5
100000,40,11,229.3150424957275,573.2085704803467,1
100000,40,12,274.51086044311523,913.163423538208,1
100000,40,13,268.54467391967773,972.2509384155272,1
100000,40,14,244.19593811035156,1216.224193572998,1
100000,100,1,291.8953895568848,0.0,1
100000,100,2,294.3865656852722,45.870959758758545,4
100000,100,3,309.3840678532918,39.97639815012614,6
100000,100,4,301.72693729400635,102.10633277893066,2
100000,100,5,301.39641761779785,166.7388916015625,5
100000,100,6,292.0992374420166,252.12860107421875,2
100000,100,7,300.0251054763794,359.0047359466553,2
100000,100,8,320.08981704711914,387.58993148803705,2
100000,100,9,323.4858512878418,521.9454765319824,2
100000,100,10,468.2507514953613,582.3422908782959,5
100000,100,11,272.397518157959,749.85671043396,1
100000,100,12,319.0889358520508,802.7849197387695,1
100000,100,13,331.17175102233887,961.7528915405272,1
100000,100,14,351.9458770751953,1114.5544052124023,1
150000,10,3,386.69077555338544,17.426172892252605,3
150000,10,5,406.0862064361572,132.1847438812256,3
150000,10,10,384.88173484802246,669.3204243977865,3
150000,40,3,527.8032620747884,36.904335021972656,3
150000,40,5,535.1245403289795,168.719212214152,3
150000,40,10,636.2463633219401,867.520809173584,3
150000,100,3,686.4004135131836,45.89549700419108,3
