size,k,dimension,annoy_time,ggnn_time,scann_time,hnswlib_time,faiss_time,fgc_time,fgc_time_annoy,fgc_time_scann,fgc_time_hnswlib,fgc_time_ggnn,count
8000.0,10.0,10.0,,,,,3.105640411376953,105.10810216267905,,,,,3.0
8000.0,40.0,3.0,525.6590843200684,,,,8.240461349487305,17.976840337117512,18.288373947143555,,,,3.0
8000.0,40.0,5.0,509.6206665039063,,,,6.085713704427083,24.99079704284668,14.921903610229492,,,,3.0
8000.0,40.0,10.0,,,,,6.549358367919922,72.58447011311848,,,,,3.0
8000.0,100.0,3.0,1180.2759170532229,,,,13.06589444478353,17.656485239664715,23.956298828125,,,,3.0
8000.0,100.0,5.0,1101.5417575836182,,,,11.417071024576822,39.96674219767253,30.373334884643555,,,,3.0
8000.0,100.0,10.0,,,,,18.40321222941081,57.820638020833336,,,,,3.0
9000.0,10.0,3.0,250.17905235290527,,,,4.749854405721028,10.420799255371094,10.608911514282228,,,,3.0
9000.0,10.0,5.0,231.83321952819824,,,,2.0955403645833335,34.39776102701823,33.07533264160156,,,,3.0
9000.0,10.0,10.0,,,,,3.925879796346029,113.41460545857748,,,,,3.0
9000.0,40.0,3.0,591.0711288452148,,,,7.306257883707683,15.66767692565918,14.963865280151367,,,,3.0
9000.0,40.0,5.0,586.076021194458,,,,7.256189982096355,29.611587524414062,32.4101448059082,,,,3.0
9000.0,40.0,10.0,,,,,5.932807922363281,73.5776424407959,,,,,3.0
9000.0,100.0,3.0,1315.7081604003906,,,,14.964421590169271,19.286235173543293,24.31845664978028,,,,3.0
9000.0,100.0,5.0,1248.607158660889,,,,13.739983240763346,30.57972590128581,43.5791015625,,,,3.0
9000.0,100.0,10.0,,,,,48.8740603129069,74.80255762736003,,,,,3.0
10000.0,10.0,3.0,278.5367965698242,,,,6.709655125935872,23.661454518636067,14.961481094360352,,,,3.0
10000.0,10.0,5.0,248.4660148620605,,,,4.388093948364258,36.01670265197754,20.01619338989257,,,,3.0
10000.0,10.0,10.0,,,,,7.352749506632487,136.69395446777344,,,,,3.0
