size,k,dimension,hnswlib_time,fgc_time,count
500000.0,10,5,3386.981725692749,967.3125743865968,2
500000.0,40,3,2931.3766956329346,48.97761344909668,2
500000.0,40,5,3425.8501529693604,843.5511589050293,2
500000.0,100,3,2990.980386734009,189.19968605041504,2
500000.0,100,5,3554.084300994873,2216.564655303955,2
600000.0,10,3,3532.665491104126,83.23812484741211,2
600000.0,10,5,3988.7032508850098,809.8385334014893,2
600000.0,40,3,3556.612014770508,88.90366554260254,2
600000.0,40,5,4082.786321640014,1847.116231918335,2
600000.0,100,3,3575.0274658203125,352.830171585083,2
600000.0,100,5,4170.1531410217285,1831.3941955566409,2
700000.0,10,3,4141.85357093811,156.26835823059082,2
700000.0,10,5,4854.049444198608,1008.5046291351318,2
700000.0,40,3,4073.2128620147705,117.9666519165039,2
700000.0,40,5,4945.3277587890625,2340.3143882751465,2
700000.0,100,3,4106.260538101196,433.61544609069824,2
700000.0,100,5,5286.316394805908,3115.6229972839355,2
800000.0,10,3,4930.537939071655,103.68680953979492,2
800000.0,10,5,5697.762489318848,2150.9644985198975,2
800000.0,40,3,4908.432245254517,300.6322383880615,2
800000.0,40,5,5694.096803665161,2412.2138023376465,2
800000.0,100,3,4760.736703872681,277.3163318634033,2
800000.0,100,5,5969.03657913208,2686.854362487793,2
900000.0,10,3,5297.525644302368,220.4117774963379,2
900000.0,10,5,7211.919784545898,2425.3885746002197,2
900000.0,40,3,5229.269742965698,180.8481216430664,2
900000.0,40,5,6342.7674770355225,2515.111207962036,2
900000.0,100,3,5340.075731277466,582.3428630828857,2
900000.0,100,5,6867.101430892944,3771.7151641845703,2
1000000.0,10,2,7169.380029042562,323.33000500996906,3
1000000.0,10,3,6094.668960571289,152.73327827453613,5
1000000.0,10,4,6692.055702209473,829.2387326558431,3
1000000.0,10,5,7317.172288894653,1518.748124440511,3
1000000.0,10,6,8090.384244918823,1929.51774597168,1
1000000.0,10,7,8742.737293243408,3145.2910900115967,1
1000000.0,10,8,9642.63081550598,3723.943948745728,1
1000000.0,10,9,10501.780986785889,5447.868347167969,1
1000000.0,40,2,5568.274471494887,858.4908909267849,9
1000000.0,40,3,6237.8701368967695,274.5600806342231,9
1000000.0,40,4,6877.92021887643,1341.24037197658,7
1000000.0,40,5,7532.766614641462,2718.0398872920446,7
1000000.0,40,6,8227.092790603638,5292.248964309692,5
1000000.0,40,7,8950.34852027893,8478.603363037111,5
1000000.0,40,8,9538.881063461304,8620.393800735475,5
1000000.0,40,9,11224.910616874697,11204.8362493515,4
1000000.0,40,10,12412.44649887085,14552.13701725006,4
1000000.0,40,11,12946.576714515686,18589.96844291687,4
1000000.0,40,12,14239.478588104248,24435.409784317017,2
1000000.0,40,13,15879.11319732666,29100.300550460815,2
1000000.0,40,14,15419.602155685425,33460.002183914185,2
1000000.0,40,15,16292.423248291016,37431.01358413696,2
1000000.0,40,16,17414.93320465088,99912.99176216124,2
1000000.0,40,17,17864.49360847473,46334.1703414917,2
1000000.0,40,18,18463.993787765503,51951.972007751465,2
1000000.0,40,19,19231.193780899048,56949.67246055603,2
1000000.0,40,20,24759.20248031616,61346.52996063232,2
1000000.0,40,21,20122.737884521484,69158.70022773743,2
1000000.0,40,22,19844.08164024353,74894.12927627563,2
1000000.0,40,23,20560.94026565552,78993.14045906067,2
1000000.0,40,24,32078.826904296875,101281.72063827516,2
1000000.0,40,25,20155.117988586426,92334.1772556305,2
1000000.0,40,26,21440.46711921692,97506.334066391,2
1000000.0,40,27,24469.49315071106,102427.51407623292,2
1000000.0,40,28,30129.439115524292,104834.87057685852,2
1000000.0,40,29,26122.373819351196,115804.82959747314,2
1000000.0,100,2,5633.40703646342,1245.2988624572754,3
1000000.0,100,3,6112.703466415405,531.3443183898926,5
1000000.0,100,4,6858.768463134766,2033.8068803151448,3
1000000.0,100,5,7961.555639902751,3976.19366645813,3
1000000.0,100,6,9029.8752784729,3774.025201797485,1
1000000.0,100,7,10031.07500076294,5555.7701587677,1
1000000.0,100,8,11707.40008354187,6138.181209564209,1
1500000.0,10,3,10123.759746551514,635.4739665985107,2
1500000.0,10,5,11654.895305633543,5593.048095703125,2
1500000.0,40,3,9514.33563232422,767.4202919006348,2
1500000.0,40,5,11596.910238265991,6703.181266784668,2
1500000.0,100,3,9292.081832885742,1331.3915729522705,2
1500000.0,100,5,12870.678186416626,8993.24345588684,2
2000000.0,10,3,12499.455690383911,1216.503381729126,2
2000000.0,10,5,17657.70196914673,6714.167356491089,2
2000000.0,40,3,12729.874849319458,1059.859275817871,2
2000000.0,40,5,17771.15797996521,12400.635957717896,2
2000000.0,100,3,13121.808290481567,2010.310411453247,2
2000000.0,100,5,19633.944749832153,15576.663255691528,2
2500000.0,10,3,17614.479303359985,1863.748550415039,2
