size,k,dimension,annoy_time,fgc_time,count
60000.0,100,3,9061.012029647827,34.6531867980957,2
60000.0,100,5,9306.29849433899,96.19021415710448,2
70000.0,10,3,2260.2627277374268,21.29602432250977,2
70000.0,10,5,2033.5264205932613,47.502756118774414,2
70000.0,40,3,5135.450839996338,17.655372619628906,2
70000.0,40,5,5259.979248046875,68.98140907287598,2
70000.0,100,3,10976.50694847107,40.849924087524414,2
70000.0,100,5,11119.585514068604,116.45150184631348,2
80000.0,10,3,2721.421957015991,15.540361404418944,2
80000.0,10,5,2399.2457389831543,59.14115905761719,2
80000.0,40,3,6059.835910797119,18.379688262939453,2
80000.0,40,5,6116.281032562256,78.41253280639648,2
80000.0,100,3,12421.91195487976,37.75501251220703,2
80000.0,100,5,12701.987743377686,141.29209518432617,2
90000.0,10,3,2978.4958362579346,14.186620712280272,2
90000.0,10,5,2732.550382614136,42.04726219177246,2
90000.0,40,3,6796.495199203491,23.595571517944336,2
90000.0,40,5,6917.003393173218,89.03336524963379,2
90000.0,100,3,14282.042980194092,26.648759841918945,2
90000.0,100,5,14533.435106277466,137.5887393951416,2
100000.0,10,2,75428.77876758575,1978.6463975906374,4
100000.0,10,3,3519.231915473938,150.79963207244873,4
100000.0,10,5,3092.2319889068604,67.61407852172852,4
100000.0,40,2,165249.85539913177,1837.4603390693665,4
100000.0,40,3,7680.535316467285,35.76254844665527,4
100000.0,40,5,7789.801120758057,99.07293319702148,4
100000.0,100,2,15392.37117767334,43.93362998962402,2
100000.0,100,3,15962.833881378174,36.30411624908447,4
100000.0,100,5,16640.11836051941,188.9592409133911,4
150000.0,10,3,5249.716520309448,20.04694938659668,4
150000.0,10,5,4879.226803779602,126.82080268859865,4
150000.0,40,3,12246.549129486084,35.62307357788086,4
150000.0,40,5,12603.06441783905,167.48201847076416,4
150000.0,100,3,25884.20283794403,67.10779666900635,4
150000.0,100,5,26089.789032936096,247.67827987670896,4
200000.0,10,3,7394.590258598328,20.42520046234131,4
200000.0,10,5,6895.864963531494,171.52583599090576,4
200000.0,40,3,17280.779361724854,31.15439414978027,4
200000.0,40,5,17694.941878318787,216.8033123016357,4
200000.0,100,3,35948.8410949707,59.17930603027344,4
200000.0,100,5,37141.56925678253,327.9987573623657,4
250000.0,10,3,9544.875741004944,22.218823432922363,4
250000.0,10,5,9076.48992538452,208.8651657104492,4
250000.0,40,3,22899.842023849487,41.54765605926514,4
250000.0,40,5,22995.022177696228,295.7577705383301,4
250000.0,100,3,46937.98923492432,80.90019226074219,4
250000.0,100,5,48507.14945793152,446.7529058456421,4
300000.0,10,3,12076.68936252594,24.4138240814209,4
300000.0,10,5,11094.149589538574,255.94806671142567,2
300000.0,40,3,28143.025398254395,45.81928253173828,2
300000.0,100,3,58029.5684337616,104.83479499816896,2
500000.0,40,3,61083.93311500549,372.01762199401855,2
500000.0,40,5,52816.415309906006,997.8535175323486,2
600000.0,40,3,61860.54730415344,142.730712890625,2
600000.0,40,5,63323.95267486572,1200.0172138214111,2
700000.0,40,3,73572.46088981628,191.27631187438965,2
700000.0,40,5,75725.102186203,1622.9305267333984,2
800000.0,40,3,85247.7970123291,202.9778957366944,2
800000.0,40,5,88820.00494003296,2076.6913890838623,2
900000.0,40,3,96441.05696678162,248.4848499298096,2
900000.0,40,5,101794.1312789917,2327.402114868164,2
1000000.0,10,2,45340.77310562134,466.69960021972656,2
1000000.0,10,3,53407.07969665527,483.5634231567383,1
1000000.0,10,5,49144.88363265991,1932.33060836792,1
1000000.0,40,2,105919.28617159526,717.9614702860514,3
1000000.0,40,3,175129.99334931374,761.9220018386841,8
1000000.0,40,4,109592.53692626952,980.5996417999268,1
1000000.0,40,5,111690.1340825217,2656.5923350197927,7
1000000.0,40,6,111152.67848968506,4562.598466873169,1
1000000.0,40,7,109934.95106697084,7366.26672744751,1
1000000.0,40,8,107184.39531326294,8684.741258621216,1
1000000.0,40,9,105212.87870407104,12090.79909324646,1
1000000.0,40,10,105205.4123878479,15807.0170879364,1
1000000.0,40,11,103156.27121925354,20930.39345741272,1
1000000.0,40,12,99669.7142124176,24362.20121383667,1
