size,k,annoy_time,fgc_time,count,dimension
150000,100,26089.789032936096,247.67827987670896,2,5
200000,10,7394.590258598328,20.42520046234131,2,3
200000,40,17280.779361724854,31.15439414978027,2,3
200000,100,35948.8410949707,59.17930603027344,2,3
200000,10,6895.864963531494,171.52583599090576,2,5
200000,40,17694.941878318787,216.8033123016357,2,5
200000,100,37141.56925678253,327.9987573623657,2,5
250000,10,9544.875741004944,22.218823432922363,2,3
250000,40,22899.842023849487,41.54765605926514,2,3
250000,100,46937.98923492432,80.90019226074219,2,3
250000,10,9076.48992538452,208.8651657104492,2,5
250000,40,22995.022177696228,295.7577705383301,2,5
250000,100,48507.14945793152,446.7529058456421,2,5
300000,10,12076.68936252594,24.4138240814209,2,3
300000,40,28143.025398254395,45.81928253173828,1,3
300000,100,58029.5684337616,104.83479499816896,1,3
300000,10,11094.149589538574,255.94806671142567,1,5
500000,40,61083.93311500549,372.01762199401855,1,3
500000,40,52816.415309906006,997.8535175323486,1,5
600000,40,61860.54730415344,142.730712890625,1,3
600000,40,63323.95267486572,1200.0172138214111,1,5
700000,40,73572.46088981628,191.27631187438965,1,3
700000,40,75725.102186203,1622.9305267333984,1,5
800000,40,85247.7970123291,202.9778957366944,1,3
800000,40,88820.00494003296,2076.6913890838623,1,5
900000,40,96441.05696678162,248.4848499298096,1,3
900000,40,101794.1312789917,2327.402114868164,1,5
1000000,40,111371.62979443868,564.2569859822592,3,3
1000000,40,111770.9272702535,2704.530000686645,3,5
1500000,40,171422.46747016907,547.4277337392172,3,3
1500000,40,183043.13373565677,5924.407005310059,3,5
2000000,40,240373.8711675008,961.4720344543456,3,3
2000000,40,235307.93039004007,8960.124810536701,3,5
2500000,40,294814.7534529368,1582.4566682179768,3,3
2500000,40,309780.9543609619,14249.02081489563,3,5
3000000,40,352813.818693161,2596.7459678649902,3,3
3000000,40,360589.4048213959,19345.709403355915,3,5
3500000,40,406693.4525966644,2824.86629486084,3,3
3500000,40,434995.788415273,25335.10621388753,3,5
4000000,40,469459.2010974884,3768.309354782105,3,3
4000000,40,496329.0971914928,28898.28395843506,3,5
4500000,40,559328.352689743,4848.734855651856,3,3
4500000,40,560566.3069486618,35644.842982292175,2,5
5000000,40,609878.8132667542,5966.991782188416,2,3
5000000,40,630137.5161409378,41747.27261066437,2,5
5500000,40,673967.2209024429,7606.99737071991,2,3
5500000,40,687840.858578682,49743.03722381592,2,5
6000000,40,744647.2222805023,9023.942589759828,2,3
6000000,40,756087.503194809,57314.31984901428,2,5
6500000,40,856088.3753299713,10586.785674095154,2,3
6500000,40,855069.1196918488,66557.73031711578,2,5
7000000,40,886417.0140028,12205.89828491211,2,3
7000000,40,893662.5843048096,73232.43963718414,2,5
7500000,40,923785.338640213,12540.712118148804,1,3
7500000,40,976052.003622055,84232.6226234436,1,5
8000000,40,1025307.6531887054,14867.73943901062,1,3
8000000,40,1094317.840576172,90507.28869438171,1,5
8500000,40,1062528.6078453064,16378.065824508669,1,3
8500000,40,1104450.0226974487,105483.34956169128,1,5
9000000,40,1171745.1059818268,18882.620573043823,1,3
9000000,40,1205119.6491718292,111759.40251350404,1,5
9500000,40,1227556.2362670898,20123.40211868286,1,3
9500000,40,1292412.5225543976,127066.28561019896,1,5
1000000,10,53407.07969665527,483.5634231567383,1,3
1000000,10,49144.88363265991,1932.33060836792,1,5
1500000,10,75379.38904762268,398.5898494720459,1,3
1500000,10,77616.08123779297,3473.3681678771973,1,5
2000000,10,97960.35146713257,782.4316024780273,1,3
2000000,10,95330.42216300964,5454.992771148682,1,5
2500000,10,131583.2896232605,1175.0574111938477,1,3
2500000,10,147153.85818481445,7854.730129241943,1,5
3000000,10,171295.3176498413,1894.6466445922852,1,3
3000000,10,162596.22311592102,10715.63196182251,1,5
3500000,10,178429.26597595215,2552.0401000976562,1,3
3500000,10,172634.4449520111,14852.560997009277,1,5
4000000,10,211506.90722465515,3247.1909523010254,1,3
4000000,10,208946.453332901,16797.902822494507,1,5
4500000,10,255500.23245811462,3956.171989440918,1,3
4500000,10,227337.94236183167,20568.373441696167,1,5
5000000,10,258913.27214241028,5012.999773025513,1,3
5000000,10,257684.16833877563,26298.128128051758,1,5
5500000,10,320298.6717224121,6611.778974533081,1,3
