size,k,faiss_time,fgc_time,count,dimension
250000,10,1125.6577968597412,13.640403747558594,1,3
250000,40,1405.7137966156006,42.72747039794922,1,3
250000,100,1624.3929862976074,104.09069061279297,1,3
250000,10,1139.5471096038818,224.42269325256348,1,5
250000,40,1448.429822921753,352.6263236999512,1,5
250000,100,1642.580270767212,491.0271167755127,1,5
300000,10,1593.0378437042236,20.97940444946289,1,3
300000,40,2103.679418563843,51.560163497924805,1,3
300000,100,2461.430311203003,108.27112197875977,1,3
300000,10,1538.1247997283936,240.33451080322266,1,5
300000,40,2091.6881561279297,420.7730293273926,1,5
300000,100,2318.695306777954,615.0908470153809,1,5
350000,10,2116.377592086792,32.62186050415039,1,3
350000,40,2744.2078590393066,37.992000579833984,1,3
350000,100,3075.5977630615234,109.81917381286621,1,3
350000,10,2052.8483390808105,296.0622310638428,1,5
350000,40,2726.942300796509,518.9356803894043,1,5
350000,100,3120.272159576416,862.3874187469482,1,5
400000,10,2856.395959854126,23.289918899536133,1,3
400000,40,3674.4422912597656,58.199405670166016,1,3
400000,100,4096.508741378784,106.04453086853027,1,3
400000,10,2662.8153324127197,376.7266273498535,1,5
400000,40,4008.134365081787,615.8437728881836,1,5
400000,100,3983.8345050811768,1118.5393333435059,1,5
450000,10,3434.9987506866455,24.169921875,1,3
450000,40,4433.52484703064,40.14945030212402,1,3
450000,100,4893.702507019043,115.46444892883301,1,3
450000,10,3357.3100566864014,465.8372402191162,1,5
450000,40,4397.450923919678,732.5844764709473,1,5
450000,100,4976.086616516113,1094.1600799560547,1,5
500000,10,4272.629261016846,47.91092872619629,1,3
500000,40,5473.53458404541,76.35283470153809,1,3
500000,100,6126.747608184814,136.51108741760254,1,3
500000,10,4203.406810760498,535.1078510284424,1,5
500000,40,5519.087791442871,848.2697010040283,1,5
500000,100,6028.438091278076,1280.165195465088,1,5
600000,10,6019.122123718262,71.75755500793457,1,3
600000,40,7862.414598464966,92.24581718444824,1,3
600000,100,8567.446231842041,209.66839790344238,1,3
600000,10,6161.569356918335,737.1997833251953,1,5
600000,40,8104.706287384033,1438.4400844573975,1,5
600000,100,8791.377067565918,1706.0868740081787,1,5
700000,10,8281.961917877197,55.257320404052734,1,3
700000,40,10655.436515808105,130.63597679138184,1,3
700000,100,11849.678754806519,267.4283981323242,1,3
700000,10,8254.532098770142,904.9386978149414,1,5
700000,40,10763.269186019897,1396.742582321167,1,5
700000,100,11956.980466842651,2147.1753120422363,1,5
800000,10,10730.111837387085,91.16101264953613,1,3
800000,40,14064.281463623047,140.05351066589355,1,3
800000,100,14985.951662063599,279.7987461090088,1,3
800000,10,10828.518152236938,1305.8104515075684,1,5
800000,40,13852.977275848389,1700.2782821655273,1,5
800000,100,15455.604076385498,2670.742988586426,1,5
900000,10,13619.168758392334,125.68044662475586,1,3
900000,40,17483.42251777649,201.22981071472168,1,3
900000,100,19073.121070861816,360.60571670532227,1,3
900000,10,13570.666551589966,1492.2964572906494,1,5
900000,40,17438.191652297974,2074.7761726379395,1,5
900000,100,18950.43110847473,3157.0589542388916,1,5
1000000,10,16641.734838485718,181.6856861114502,1,3
1000000,40,21600.117206573486,226.4535427093506,1,3
1000000,100,23099.539756774902,382.91120529174805,1,3
1000000,10,16890.909433364868,1716.3372039794922,1,5
1000000,40,21582.353115081787,2458.008289337158,1,5
1000000,100,23289.445638656616,3748.3527660369873,1,5
1500000,10,37665.29083251953,370.8643913269043,1,3
1500000,40,47389.585733413696,469.2544937133789,1,3
1500000,100,52582.71145820618,759.7160339355469,1,3
1500000,10,37273.09346199036,3411.885976791382,1,5
1500000,40,48191.503286361694,4957.08966255188,1,5
